"","X1","X2","X3","X4","X5"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:11:./temp/~ammem_I8sX::","Enlarging the Powers of the Department of Agriculture, etc.  House Report No. 474. From U.S. House Reports.  56th Congress.  1st Session.  1899-1900.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1900 03 01","
SUMMARY Report from the Committee on Interstate and Foreign Commerce, to accompany H.R. 6634, a bill authorizing the enlargement of the powers of the Department of Agriculture to prohibit the interstate transportation of game killed in violation of local laws: the report explains the reasons for the legislation (to supplement State game and bird protection laws; to introduce and restore game, song, and insectivorous wild birds; and to prevent ""the unwise introduction of foreign birds and animals""), and recommends passage, with amendment.","
NOTESPart of the legislative record for the Lacey Act (31 Stat. 187). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:11:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:12:./temp/~ammem_I8sX::","Forest Reserve Act: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the Fifty-First Congress, First Session.  Also Special Session of the Senate.  Volume XXI.  Pp. 1523, 2349-53, 2533-34, 2537-39, 5272, 10031, 10085-94, 10454-55, 10760.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1889","
SUMMARY Procedure and debate surrounding the early stages of the passage of H.R. 7254, which eventually became ""An act to repeal timber-culture laws, and for other purposes"" (26 Stat. 1095), known as the Forest Reserve Act, in the First Session of the 51st Congress.  Debate, which was lengthy and sometimes acrimonious, centered in the House on the reason for the proposed repeal of the Timber Culture Act, namely (in the words of Congressman Holman of Indiana) its abuse as ""a source of dishonesty and fraud from the beginning,"" and whether or not this bill could best replace it by encouraging forestation; in the Senate, it also concerned the degree to which timber-cutting for private profit should be permitted on the public lands, and entailed the articulation of conservationist principles, explicit recognition of the link between forests and water conservation, and expressions of resentment by Senator Sanders of Montana toward Federal interference in the use of public resources by local citizens; the Senate also debated the possible impact of the bill on selected Native communities in Alaska.  Transcripts of debate include the presentation of brief Memorials from the American Forestry Association and from the Legislature of the State of Washington, which were entered into the record.","
NOTESWidely-scattered pages selected from a much longer document.  These pages reflect the bill's introduction by Congressman Payson, its reading, debate and passage in the House, the bill's report to the Senate and referral to the Senate Committee on Public Lands, its report back from the Committee with an amendment, extensive debate in the Senate, passage by the Senatte in amended form, the appointment of Senators to a House-Senate conference committee, the House's referral of the bill as amended by the Senate to the House Committee on Public Lands, and the House's agreement to a conference on the bill to resolve differences in the House and Senate versions. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:12:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:13:./temp/~ammem_I8sX::","Forest Reserve Act: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the Fifty-First Congress, Second Session.  Volume XXII.  Pp. 3545-47, 3611-16, 3657-58, 3685, 3712-13, 3824-25.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1891","
SUMMARY Procedure and debate surrounding the passage of H.R. 7254, which became ""An act to repeal timber-culture laws, and for other purposes"" (26 Stat. 1095), known as the Forest Reserve Act, in the Second Session of the 51st Congress.  Debate included objections to the ""extraordinary and dangerous power... over the public domain"" which the right to set aside forest reserves would grant to the President, and discussion of the connection between water and forest conservation.","
NOTESWidely-scattered pages selected from a much longer document.  These pages reflect the report of the Conference Committee to the Senate and the House, the Senate's concurrence in that report, debate in the House, the House's agreement to the report, the signing of the bill by the Speaker and the Vice-President, and its signing by President Harrison. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:13:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:14:./temp/~ammem_I8sX::","Granting Seal Rocks to San Francisco, Cal.  House Report No. 2649. From Index to the Reports of Committees of the House of Representatives for the First Session of the Forty-Ninth Congress.  1885-86.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1886 05 27","
SUMMARY Report from the House Committee on Public Lands in support of legislation granting seal rocks to San Francisco on the grounds that ""their value as a public attraction may not be impaired,"" with recommended amendments.","
NOTESPart of the legislative record for the Act granting seal rocks in trust to San Francisco (24 Stat. 408). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:14:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:15:./temp/~ammem_I8sX::","Granting Seal Rocks to San Francisco.  House Report No. 3415. From Index to the Reports of Committees of the House of Representatives for the First Session of the Forty-Ninth Congress.  1885-86.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1886 07 22","
SUMMARY Report from the House Committee on the Public Lands, recommending that S. 2428 be substituted for H.R. 8107, and passed; the two bills are the same.","
NOTESPart of the legislative record for the Act granting seal rocks in trust to San Francisco (24 Stat. 408). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:15:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:16:./temp/~ammem_I8sX::","Granting Seal Rocks to San Francisco.  Senate Report No. 1281. From Reports of Committees of the Senate of the United States for the First Session of the Forty-Ninth Congress.  1885-86.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1886 06 07","
SUMMARY Report from the Senate Committee on Public Lands, adopting and submitting a House committee report in support of legislation granting seal rocks to San Francisco on the grounds that ""their value as a public attraction may not be impaired,"" with recommended amendments.","
NOTESPart of the legislative record for the Act granting seal rocks in trust to San Francisco (24 Stat. 408). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:16:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:17:./temp/~ammem_I8sX::","Hetch Hetchy Grant to San Francisco.  House Report No. 41. From Reports of Committees of the House of Representatives for the First Session of the Sixty-Third Congress.  1913-14.  ","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1913 08 05","
SUMMARY Report from the Committee on the Public Lands to accompany H.R. 7207.   ","
NOTESPart of the legislative record for ""An Act Granting to the City of San Francisco certain rights of way in, over, and through certain public lands..."" (38 Stat. 242-51). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:17:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:18:./temp/~ammem_I8sX::","Hetch Hetchy Grant to San Francisco.  Senate Report No. 113. From Reports of Committees of the Senate for the First Session of the Sixty-Third Congress.  1913-14.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1913 09 25","
SUMMARY Report from the Committee on Public Lands to accompany H.R. 7207.   ","
NOTESPart of the legislative record for ""An Act Granting to the City of San Francisco certain rights of way in, over, and through certain public lands..."" (38 Stat. 242-51). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:18:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:19:./temp/~ammem_I8sX::","Irrigation and Reclamation of Arid Lands.  House Report No. 794, Part II. From Reports of Committees of the House of Representatives for the First Session of the Fifty-Seventh Congress.  1901-02.  ","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1902 03 10","
SUMMARY Views of the Minority from the Committee on Irrigation of Arid Lands to accompany H.R. 9676.  The minority ""can not agree with the majority of the committee, and are opposed to the bill in its present form and also to the general scheme proposed thereby as dangerous, unfair, impossible of execution, and unconsitutional."" Each of these points is presented in some detail.  It is further argued that ""the land-grant railroads are behind this scheme and the real beneficiaries.""  The argument of unconstitionality focuses on aspects of Congress's jurisdiction over lands within a state.","
NOTESPart of the legislative record for the Newlands Reclamation Act (32 Stat. 388). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:19:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:20:./temp/~ammem_I8sX::","Irrigation Investigation in California.  House Report No. 1954. From Reports of Committees of the House of Representatives for the First Session of the Fifty-Seventh Congress.  1901-02.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1902 05 10","
SUMMARY Report from the Committee on Printing to accompany Senate Concurrent Resolution No. 28.  The report recommends the reprinting of the bulletin on ""Irrigation Investigations in California"" which had been produced by the Department of Agriculture and printed as a Senate Document.","
NOTESPart of the legislative background for the Newlands Reclamation Act (32 Stat. 388). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:20:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:21:./temp/~ammem_I8sX::","Irrigation of Arid Lands; Mr. Stewart presented the following: Extracts on the Subject of Irrigation from the Message of the President, Speeches of Members of Congress, Documents, etc. - Broad National Benefits - Irrigation of Arid Lands Will Help East and West Alike - No Competition with Eastern Agriculture.  Senate Document No. 446. From U.S. Senate Documents of the First Session of the Fifty-Seventh Congress.  1901-02.  ","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1902 07 01","
SUMMARY The document consists of extracts, from one-half to two pages long, from speeches, newspaper interviews, and testimony.  The extracts cover various aspects of the irrigation question, from government aid to the effects on farming and manufacturing in other parts of the country.  The selection is clearly aimed at convincing doubters of the value of irrigation projects.  The speeches were given by President Roosevelt, Secretary of the Interior Ethan A. Hitchcock, Secretary of Agriculture James Wilson, Senator William M. Stewart of Nevada, Senator B.F. Tillman of South Carolina, Senator H.C. Hansbrough of North Dakota, Senator Clarence D. Clark of Wyoming, Senator H.M. Teller of Colorado, Senator J.H. Gallinger of New Hampshire, Senator A.S. Clay of Georgia, Representative F. W. Mondell of Wyoming, Representative F.G. Newlands of Nevada, Ashton C. Shallenberger of Nebraska, Representative Elmer J. Burkett of Nebraska, Representative Thomas L. Glenn of Idaho, Representative James R. Mann of Ilinois, Representative William S. Cowherd of Missouri, Representative Oscar W. Underwood of Alabama, Representative Joseph E. Ransdell of Louisiana, Representative William A. Reeder of Kansas, Representative Wesley L. Jones of Washington, Representative Eben W. Martin of South Dakota, Representative Charles Q. Tirrel of Massachusetts, Representative Thomas H. Tongue of Oregon, Representative John F. Shafroth of Colorado, Representative David H. Mercer of Nebraska, Representative J.C. Needham of California, and Representative George E. Sutherland of Utah.  The press interviews were with James J. Hill, Thomas F. Walsh (President of the National Irrigation Assciation), and Col. H.M. Chittenden of the U.S. Engineer Corps.  The testimony was given by William M. Bunker before the House Committee on Irrigation of Arid Lands.  ","
NOTESPart of the legislative background for the Newlands Reclamation Act (32 Stat. 388). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:21:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:22:./temp/~ammem_I8sX::","Lacey Act: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the Fifty-Sixth Congress, First Session.  Volume XXXIII.  Pp. 930, 2457, 3603, 3661-62, 4870-76, 4892, 5633, 5704, 5879, 5882, 5932, 6109.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1900","
SUMMARY Procedure and debate surrounding the passage of H.R. 6634, which became the ""An Act To enlarge the powers of the Department of Agriculture, prohibit the transportation by interstate commerce of game killed in violation of local laws, and for other purposes"" (31 Stat. 187), known as the Lacey Act, in the First Session of the 56th Congress.  Debate in the House centered on the urgency of the need for bird protection, the changing ethics of sport hunters (the bill had the support of the League of American Sportsmen, and Lacey himself expressed confidence that ""to-day there is no friend that the birds have like the true sportsman...  The game hog' is an animal on two legs that is disappearing""), and the bill's potential for creating State/Federal and interstate jurisdictional conflicts; there was no debate in the Senate.","
NOTESWidely-scattered pages selected from a much longer document.  These pages reflect the bill's introduction by Congressman Lacey, and its referral to the Committee on Interstate and Foreign Commerce, its report out of committee with amendment and referral to the Committee of the Whole House on the state of the Union, its debate and passage by the House, its introduction in the Senate, referral to the Committee on Interstate Commerce, and report from the Committee without amendment, its passage by the Senate, its signing by the Speaker of the House and the President pro tempore of the Senate, and its signing by President McKinley. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:22:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:23:./temp/~ammem_I8sX::","Lake Michigan Dumping Prevention Act: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the Sixty-First Congress, Second Session.  Volume XLV.  Pp. 825, 5432, 5672, 5702-03, 6119, 6254, 6322, 8219, 8363, 8489, 8548, 8622, 8699, 9107.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1910","
SUMMARY Procedure and debate surrounding the passage of H.R. 18700, which eventually became ""An Act To prevent the dumping of refuse materials in Lake Michigan at or near Chicago""  (36 Stat. 593), in the Second Session of the 61st Congress.  There was no debate, only a minor amendment in the House.  The Senate proposed amending the bill to require the city of Chicago to pay various costs associated with the reform, but this was rejected in the conference committee.","
NOTESWidely scattered pages selected from the complete record.  These pages report the introduction of the bill by Representative Mann and its referral to the House Committee on Interstate and Foreign Commerce, its report back to the House with amendment (H.R. Report 1120), amendment and passage in the House, referral to the Senate Committee on Commerce, report with amendment to the Senate, amendment and passage in the Senate, House disagreement with Senate amendment, Senate insistence on amendment, appointment of conference committee, conference report made and agreed to in Senate, conference report made and agreed to in House (H.R. Report 1613), signing by the Speaker of the House and the Vice President, presentation to and approval by President Taft. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:23:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:24:./temp/~ammem_I8sX::","National Park Protective Act: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the Fifty-Third Congress, Second Session.  Volume XXVI.  Pp. 3252, 3457, 3503, 3631, 3688, 3751, 3939-41, 3961-62, 4019, 4085, 4296-97, 4314-15, 4395-96, 4541. ","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1894","
SUMMARY Procedure and debate surrounding the passage of H.R. 6442, which eventually became ""An Act to protect the birds and animals in Yellowstone National Park, and to punish crimes in said park, and for other purposes"" (28 Stat. 73), in the Second Session of the 53rd Congress.  There was virtually no debate on the merits of the bill.  What debate there was focused on the amendments, which mostly made small changes in wording.  The most significant amendment provided for a closer location for jailing and trial of offenders in the park. ","
NOTESWidely-scattered pages selected from the complete record.  These pages report the introduction of the bill in the House by Representative Lacey and its referral to the House Committee on the Public Lands, its report back (H.R. Report 658), amendment and passage in the House, referral to the Senate Committee on Territories, report back to the Senate with amendments, debate in the Senate, amendment and passage in the Senate, appointment of a conference committee, report of the conference committee in the House and Senate, signing by the Speaker of the House and by the Vice President, and signing by President Cleveland. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:24:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:25:./temp/~ammem_I8sX::","National Park Service Act: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the First Session of the Sixty-Fourth Congress of the United States of America.  Volume LIII.  Pp. 7791, 8221, 10363-65, 10410, 10884, 12150-52, 12318, 12379, 12632, 13004-13005, 13193, 13208, 13243, 14157.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1916","
SUMMARY Procedure and debate surrounding the passage of H.R. 15522, which became ""An Act To establish a National Park Service, and for other purposes"" (39 Stat. 535), known as the National Park Service Act, in the First Session of the 64th Congress.  Debate concerned the Secretary of the Interior's regulation of grazing in the National Parks, and whether or not National Monuments in National Forests should remain under the jurisdiction of the Department of Agriculture; it also concerned budgetary questions and the prospect of bureaucratic growth.  The Senate wished to prohibit grazing, the House to permit it; the result was a compromise which permitted the Secretary of the Interior to regulate grazing except in Yellowstone National Park, where it was forbidden.","
NOTESWidely-scattered pages selected from a much longer document.  These pages reflect the bill's introduction by Congressman Kent, and its referral to the Committee on the Public Lands, its report out of committee without amendment, its debate and passage by the House, its introduction in the Senate, referral to the Committee on Public Lands, report out of committee with amendment, debate and passage by the Senate with additional amendment, the House's disagreement with the Senate's amendments and the appointment of a House-Senate conference to resolve the differences, the adoption of the conference report, its signing by the Speaker of the House and the Vice-President, and its presentation to and signing by President Wilson. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:25:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:26:./temp/~ammem_I8sX::","National Park Service.  House Report No. 1136. From House Reports (Public).  64th Congress.  1st Session.  December 6, 1915-September 8, 1916.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1916 08 18","
SUMMARY Conference committee report to accompany H.R. 15522, a bill to establish a national park service, reconciling differences in the House and Senate versions of the proposed Act, with explanations of certain of its provisions.","
NOTESPart of the legislative record for the National Park Service Act (39 Stat. 535). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:26:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:27:./temp/~ammem_I8sX::","National Park Service.  House Report No. 700. From House Reports (Public).  64th Congress.  1st Session.  December 6, 1915-September 8, 1916.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1916 05 17","
SUMMARY Report from the Committee on the Public Lands, recommending that H. R. 15522, a bill to establish a national park service, be passed, inasmuch as it incorporates the amendments recommended by the committee as a substitute for other bills on the same subject (H.R. 8668 and H.R. 434).  The report includes the text of H.R. 15522, and presents the arguments for its passage, notably the need for a park service separate from the Forest Service because the national parks are devoted to ""the preservation of nature as it exists,"" whereas the national forests have ""as primary objects and purposes the utilitarian use of land, of water, and of timber.""  Also includes statistics on the number of visitors to each national park, 1908 to 1915, and correspondence in favor of the establishment of a national park service from Secretary of the Interior Franklin K. Lane and Secretary of Agriculture D.F. Houston.","
NOTESPart of the legislative record for the National Park Service Act (39 Stat. 535). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:27:./temp/~ammem_I8sX::"
